== MiniMind-Embedding 训练 (stage2, embed_dense_64m) ==
[load_pretrained_backbone] 已加载 /root/minimind-embeddings/checkpoints/embedding/embedding_stage1_768.pth
  完整加载: 93 个参数
  部分加载: 0 个(vocab 扩展,前 6400 行已拷贝)
  跳过:     0 个(embedding 模型忽略 lm_head / rerank 缺 head 属正常)
参数量: 64.5M
[HFEmbeddingDataset] 加载 sentence-transformers/t2ranking (config=triplet-15) split=train ...
[HFEmbeddingDataset] 共 340111 条
总步数: 63768, batch=16, accum=1
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: qinganli (qinganli-personal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w6li4xpj
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /root/minimind-embeddings/wandb/run-20260728_122846-w6li4xpj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run cloud_stage2_FINAL_batch16_w128
wandb: ⭐️ View project at https://wandb.ai/qinganli-personal/minimind-embedding
wandb: 🚀 View run at https://wandb.ai/qinganli-personal/minimind-embedding/runs/w6li4xpj
[wandb] 已启用,project=minimind-embedding run=cloud_stage2_FINAL_batch16_w128
epoch 0 step 8000/63768 loss 1.4101 lr 9.66e-06
[save] checkpoints/embedding/embedding_stage2_768_step8000.pth + latest -> checkpoints/embedding/embedding_stage2_768.pth
epoch 0 step 8100/63768 loss 1.3700 lr 9.65e-06
epoch 0 step 8200/63768 loss 1.4192 lr 9.64e-06
epoch 0 step 8300/63768 loss 1.3872 lr 9.63e-06
epoch 0 step 8400/63768 loss 1.3642 lr 9.62e-06
epoch 0 step 8500/63768 loss 1.3189 lr 9.61e-06
epoch 0 step 8600/63768 loss 1.3407 lr 9.60e-06
epoch 0 step 8700/63768 loss 1.3628 lr 9.59e-06
epoch 0 step 8800/63768 loss 1.3772 lr 9.58e-06
epoch 0 step 8900/63768 loss 1.3755 lr 9.57e-06
epoch 0 step 9000/63768 loss 1.4117 lr 9.56e-06
epoch 0 step 9100/63768 loss 1.3600 lr 9.56e-06
epoch 0 step 9200/63768 loss 1.3742 lr 9.55e-06
epoch 0 step 9300/63768 loss 1.3200 lr 9.54e-06
epoch 0 step 9400/63768 loss 1.3441 lr 9.53e-06
epoch 0 step 9500/63768 loss 1.3335 lr 9.52e-06
epoch 0 step 9600/63768 loss 1.3752 lr 9.51e-06
epoch 0 step 9700/63768 loss 1.4242 lr 9.50e-06
epoch 0 step 9800/63768 loss 1.3534 lr 9.49e-06
epoch 0 step 9900/63768 loss 1.3556 lr 9.48e-06
epoch 0 step 10000/63768 loss 1.3800 lr 9.46e-06
epoch 0 step 10100/63768 loss 1.4015 lr 9.45e-06
epoch 0 step 10200/63768 loss 1.3413 lr 9.44e-06
epoch 0 step 10300/63768 loss 1.3799 lr 9.43e-06
